time	charge	power
315	-nan(ind)	-nan(ind)
316	-nan(ind)	-nan(ind)
317	-nan(ind)	-nan(ind)
318	-nan(ind)	-nan(ind)
319	-nan(ind)	-nan(ind)
320	-nan(ind)	-nan(ind)
321	-nan(ind)	-nan(ind)
322	-nan(ind)	-nan(ind)
323	-nan(ind)	-nan(ind)
324	-nan(ind)	-nan(ind)
325	-nan(ind)	-nan(ind)
326	-nan(ind)	-nan(ind)
327	-nan(ind)	-nan(ind)
328	-nan(ind)	-nan(ind)
329	-nan(ind)	-nan(ind)
330	-nan(ind)	-nan(ind)
331	-nan(ind)	-nan(ind)
332	-nan(ind)	-nan(ind)
333	-nan(ind)	-nan(ind)
334	-nan(ind)	-nan(ind)
335	-nan(ind)	-nan(ind)
336	-nan(ind)	-nan(ind)
337	-nan(ind)	-nan(ind)
338	-nan(ind)	-nan(ind)
339	-nan(ind)	-nan(ind)
340	-nan(ind)	-nan(ind)
341	-nan(ind)	-nan(ind)
342	-nan(ind)	-nan(ind)
343	-nan(ind)	-nan(ind)
344	-nan(ind)	-nan(ind)
345	-nan(ind)	-nan(ind)
346	-nan(ind)	-nan(ind)
347	-nan(ind)	-nan(ind)
348	-nan(ind)	-nan(ind)
349	-nan(ind)	-nan(ind)
350	-nan(ind)	-nan(ind)
351	-nan(ind)	-nan(ind)
352	-nan(ind)	-nan(ind)
353	-nan(ind)	-nan(ind)
354	-nan(ind)	-nan(ind)
355	-nan(ind)	-nan(ind)
356	-nan(ind)	-nan(ind)
357	-nan(ind)	-nan(ind)
358	-nan(ind)	-nan(ind)
359	-nan(ind)	-nan(ind)
360	-nan(ind)	-nan(ind)
361	-nan(ind)	-nan(ind)
362	-nan(ind)	-nan(ind)
363	-nan(ind)	-nan(ind)
364	-nan(ind)	-nan(ind)
365	-nan(ind)	-nan(ind)
366	-nan(ind)	-nan(ind)
367	-nan(ind)	-nan(ind)
368	-nan(ind)	-nan(ind)
369	-nan(ind)	-nan(ind)
370	-nan(ind)	-nan(ind)
371	-nan(ind)	-nan(ind)
372	-nan(ind)	-nan(ind)
373	-nan(ind)	-nan(ind)
374	-nan(ind)	-nan(ind)
375	-nan(ind)	-nan(ind)
376	-nan(ind)	-nan(ind)
377	-nan(ind)	-nan(ind)
378	-nan(ind)	-nan(ind)
379	-nan(ind)	-nan(ind)
380	-nan(ind)	-nan(ind)
381	-nan(ind)	-nan(ind)
382	-nan(ind)	-nan(ind)
383	-nan(ind)	-nan(ind)
384	-nan(ind)	-nan(ind)
385	-nan(ind)	-nan(ind)
386	-nan(ind)	-nan(ind)
387	-nan(ind)	-nan(ind)
388	-nan(ind)	-nan(ind)
389	-nan(ind)	-nan(ind)
390	-nan(ind)	-nan(ind)
391	-nan(ind)	-nan(ind)
392	-nan(ind)	-nan(ind)
393	-nan(ind)	-nan(ind)
394	-nan(ind)	-nan(ind)
395	-nan(ind)	-nan(ind)
396	-nan(ind)	-nan(ind)
397	-nan(ind)	-nan(ind)
398	-nan(ind)	-nan(ind)
399	-nan(ind)	-nan(ind)
400	-nan(ind)	-nan(ind)
401	-nan(ind)	-nan(ind)
402	-nan(ind)	-nan(ind)
403	-nan(ind)	-nan(ind)
404	-nan(ind)	-nan(ind)
405	-nan(ind)	-nan(ind)
406	-nan(ind)	-nan(ind)
407	-nan(ind)	-nan(ind)
408	-nan(ind)	-nan(ind)
409	-nan(ind)	-nan(ind)
410	-nan(ind)	-nan(ind)
411	-nan(ind)	-nan(ind)
412	-nan(ind)	-nan(ind)
413	-nan(ind)	-nan(ind)
414	-nan(ind)	-nan(ind)
415	-nan(ind)	-nan(ind)
416	-nan(ind)	-nan(ind)
417	-nan(ind)	-nan(ind)
418	-nan(ind)	-nan(ind)
419	-nan(ind)	-nan(ind)
420	-nan(ind)	-nan(ind)
421	-nan(ind)	-nan(ind)
422	-nan(ind)	-nan(ind)
423	-nan(ind)	-nan(ind)
424	-nan(ind)	-nan(ind)
425	-nan(ind)	-nan(ind)
426	-nan(ind)	-nan(ind)
427	-nan(ind)	-nan(ind)
428	-nan(ind)	-nan(ind)
429	-nan(ind)	-nan(ind)
430	-nan(ind)	-nan(ind)
431	-nan(ind)	-nan(ind)
432	-nan(ind)	-nan(ind)
433	-nan(ind)	-nan(ind)
434	-nan(ind)	-nan(ind)
435	-nan(ind)	-nan(ind)
436	-nan(ind)	-nan(ind)
437	-nan(ind)	-nan(ind)
438	-nan(ind)	-nan(ind)
439	-nan(ind)	-nan(ind)
440	-nan(ind)	-nan(ind)
441	-nan(ind)	-nan(ind)
442	-nan(ind)	-nan(ind)
443	-nan(ind)	-nan(ind)
444	-nan(ind)	-nan(ind)
445	-nan(ind)	-nan(ind)
446	-nan(ind)	-nan(ind)
447	-nan(ind)	-nan(ind)
448	-nan(ind)	-nan(ind)
449	-nan(ind)	-nan(ind)
450	-nan(ind)	-nan(ind)
451	-nan(ind)	-nan(ind)
452	-nan(ind)	-nan(ind)
453	-nan(ind)	-nan(ind)
454	-nan(ind)	-nan(ind)
455	-nan(ind)	-nan(ind)
456	-nan(ind)	-nan(ind)
457	-nan(ind)	-nan(ind)
458	-nan(ind)	-nan(ind)
459	-nan(ind)	-nan(ind)
460	-nan(ind)	-nan(ind)
461	-nan(ind)	-nan(ind)
462	-nan(ind)	-nan(ind)
463	-nan(ind)	-nan(ind)
464	-nan(ind)	-nan(ind)
465	-nan(ind)	-nan(ind)
466	-nan(ind)	-nan(ind)
467	-nan(ind)	-nan(ind)
468	-nan(ind)	-nan(ind)
469	-nan(ind)	-nan(ind)
470	-nan(ind)	-nan(ind)
471	-nan(ind)	-nan(ind)
472	-nan(ind)	-nan(ind)
473	-nan(ind)	-nan(ind)
474	-nan(ind)	-nan(ind)
475	-nan(ind)	-nan(ind)
476	-nan(ind)	-nan(ind)
477	-nan(ind)	-nan(ind)
478	-nan(ind)	-nan(ind)
479	-nan(ind)	-nan(ind)
480	-nan(ind)	-nan(ind)
481	-nan(ind)	-nan(ind)
482	-nan(ind)	-nan(ind)
483	-nan(ind)	-nan(ind)
484	-nan(ind)	-nan(ind)
485	-nan(ind)	-nan(ind)
486	-nan(ind)	-nan(ind)
487	-nan(ind)	-nan(ind)
488	-nan(ind)	-nan(ind)
489	-nan(ind)	-nan(ind)
490	-nan(ind)	-nan(ind)
491	-nan(ind)	-nan(ind)
492	-nan(ind)	-nan(ind)
493	-nan(ind)	-nan(ind)
494	-nan(ind)	-nan(ind)
495	-nan(ind)	-nan(ind)
496	-nan(ind)	-nan(ind)
497	-nan(ind)	-nan(ind)
498	-nan(ind)	-nan(ind)
499	-nan(ind)	-nan(ind)
500	-nan(ind)	-nan(ind)
501	-nan(ind)	-nan(ind)
502	-nan(ind)	-nan(ind)
503	-nan(ind)	-nan(ind)
504	-nan(ind)	-nan(ind)
505	-nan(ind)	-nan(ind)
506	-nan(ind)	-nan(ind)
507	-nan(ind)	-nan(ind)
508	-nan(ind)	-nan(ind)
509	-nan(ind)	-nan(ind)
510	-nan(ind)	-nan(ind)
511	-nan(ind)	-nan(ind)
512	-nan(ind)	-nan(ind)
513	-nan(ind)	-nan(ind)
514	-nan(ind)	-nan(ind)
515	-nan(ind)	-nan(ind)
516	-nan(ind)	-nan(ind)
517	-nan(ind)	-nan(ind)
518	-nan(ind)	-nan(ind)
519	-nan(ind)	-nan(ind)
520	-nan(ind)	-nan(ind)
521	-nan(ind)	-nan(ind)
522	-nan(ind)	-nan(ind)
523	-nan(ind)	-nan(ind)
524	-nan(ind)	-nan(ind)
525	-nan(ind)	-nan(ind)
526	-nan(ind)	-nan(ind)
527	-nan(ind)	-nan(ind)
528	-nan(ind)	-nan(ind)
529	-nan(ind)	-nan(ind)
530	-nan(ind)	-nan(ind)
531	-nan(ind)	-nan(ind)
532	-nan(ind)	-nan(ind)
533	-nan(ind)	-nan(ind)
534	-nan(ind)	-nan(ind)
535	-nan(ind)	-nan(ind)
536	-nan(ind)	-nan(ind)
537	-nan(ind)	-nan(ind)
538	-nan(ind)	-nan(ind)
539	-nan(ind)	-nan(ind)
540	-nan(ind)	-nan(ind)
541	-nan(ind)	-nan(ind)
542	-nan(ind)	-nan(ind)
543	-nan(ind)	-nan(ind)
544	-nan(ind)	-nan(ind)
545	-nan(ind)	-nan(ind)
546	-nan(ind)	-nan(ind)
547	-nan(ind)	-nan(ind)
548	-nan(ind)	-nan(ind)
549	-nan(ind)	-nan(ind)
550	-nan(ind)	-nan(ind)
551	-nan(ind)	-nan(ind)
552	-nan(ind)	-nan(ind)
553	-nan(ind)	-nan(ind)
